"Recurrences of Select Words Near ""[Ss]chicks[äa]l"" ",,,,,
"S = ""[Ss]chicks[aä]l""",,Ts =,14788,,
Fn,Tf,Tm,Pm,Ps,Ps vs. Pm
[Kk]reis,12,92,0.06%,0.08%,128.11%
