"Recurrences of Select Words Near ""Plotia"" ",,,,,
"S = ""Plotia""",,Ts =,4979,,
Fn,Tf,Tm,Pm,Ps,Ps vs. Pm
[Ss]chön,10,218,0.15%,0.20%,133.81%
