"Terms Containing ""[Mm]ensch"" Appearing within 50 Words of “[Zz]erknirsch”",,
Portion of All Occurrences,Occurrences,Term
100.00%,1,menschtum
25.00%,2,menschentums
11.11%,1,menschlicher
8.33%,1,menschenseele
4.17%,2,menschliche
3.17%,2,menschlichen
2.86%,5,menschen
,14,TOTAL (Tf)
