"Recurrences of Select Words Near ""[Zz]erknirsch"" ",,,,,
"S = ""[Zz]erknirsch""",,Ts =,1781,,
Fn,Tf,Tm,Pm,Ps,Ps vs. Pm
[Ee]id,4,74,0.05%,0.22%,440.82%
[Dd]em[üu]t,9,18,0.01%,0.51%,4077.57%
[Ll]eer,18,136,0.09%,1.01%,1079.36%
"""[Bb]l[ei]nd"" ""[Tt]aub"" ""[Ss]tumm"" ""[Ll]ähm"" ""[Oo]hnm[aä]cht"" ""[Uu]nfähig""",14,269,0.19%,0.79%,424.43%
[Nn]ackt,6,92,0.06%,0.34%,531.86%
[Mm]ensch,14,573,0.39%,0.79%,199.25%
"""[Tt]ier"" ""[Kk]reat[uü]r""",20,204,0.14%,1.12%,799.52%
