Terms of Bodily Faculty Deprivation Appearing within 50 Words of “[Zz]erknirsch”,,
Portion of All Occurrences,Occurrences,Term
100.00%,1,blindsüchtig
100.00%,1,blindunbewegten
9.09%,1,blind
100.00%,2,taub
100.00%,1,ertaubt
50.00%,1,allstummheit
10.00%,1,stumme
5.88%,1,stummen
4.76%,1,stumm
100.00%,1,fluchtgelähmt
100.00%,1,gelähmtlähmenden
33.33%,1,ohnmacht
4.00%,1,unfähig
,14,TOTAL (Tf)
