"Recurrences of Select Words Near ""[Zz]wischenreich"" ",,,,,
"S = ""[Zz]wischenreich""",,Ts =,1529,,
Fn,Tf,Tm,Pm,Ps,Ps vs. Pm
[Nn][äa]cht,18,333,0.23%,1.18%,513.47%
[Dd]ämmer,13,105,0.07%,0.85%,1176.09%
[Tt]r[äa]um,8,248,0.17%,0.52%,306.43%
[Ss]chl[äa]f,4,93,0.06%,0.26%,408.57%
[Uu]fer,4,45,0.03%,0.26%,844.37%
